Grid_Ref	longitude	latitude	Rainforest.P	Residential.P	Fruit.P	Other.P	Total_Road	Sightings	Strikes	Residential.01	Fruit.01	Dresid	Dfruit
A21	385500	8017500	0.842024	0.157559	0	0.000416508	0.00314334	1	0	1	0	125.375984843	2084.88598744
A22	385500	8016500	0.524714	0.280275	0	0.195011	1.1285786	6	0	1	0	0	1133.86770619
A23	385500	8015500	0.398308	0.344814	0.0709217	0.185956	1.13517	0	0	1	1	0	373.66812843
A24	385500	8014500	0.245828	0.0397942	0.00798164	0.706397	1.318295	0	0	1	1	218.608802796	566.717421327
A25	385500	8013500	0	0	0	1	0.398934	0	0	0	0	864.79300608	1308.94192199
A29	385500	8009500	0.0114531	0	0	0.988547	0.620958	0	0	0	0	1044.05821992	2076.64735226
A30	385500	8008500	0	0	0	1	0.429702	0	0	0	0	897.589800246	1292.53803866
B16	386500	8022500	0.504824	0.0659933	0	0.429183	0.437097	0	0	1	0	400.988261042	587.312761689
B17	386500	8021500	0.230887	0.217511	0.0168885	0.534714	1.45811	0	0	1	1	227.104641727	335.385360085
B18	386500	8020500	0.227752	0.444482	0	0.327765	1.1338637	0	0	1	0	0	1315.88266992
B19	386500	8019500	0.288961	0.00225024	0	0.708788	1.01986	0	0	1	0	554.704233802	2313.04996067
B20	386500	8018500	0.151439	0.239032	0	0.609529	1.02024	0	0	1	0	94.0493971137	2966.01269832
B21	386500	8017500	0.129303	0.509488	0	0.361209	1.07344	0	1	1	0	0	1966.44528187
B22	386500	8016500	0.111769	0.0596182	0	0.828613	1.00302	0	0	1	0	197.956649177	967.772063342
B25	386500	8013500	0.109697	0.0144691	0.00135137	0.874483	0.571236	1	0	1	1	380.849695649	564.089628151
B26	386500	8012500	0.0417099	0.00632323	0.0392878	0.912679	1.13507	0	0	1	1	598.043630396	385.083390263
B29	386500	8009500	0	0	0	1	0.0970785	0	0	0	0	543.947439193	1820.90553956
B30	386500	8008500	0	0.0167386	0	0.983261	0.90716	0	0	1	0	336.578507647	820.90641349
C16	387500	8022500	0.128249	0.0138729	0	0.857878	1.14152	0	0	1	0	133.894570252	1170.88938486
C18	387500	8020500	0.0771105	0	0	0.922889	0.194703	0	0	0	0	526.429844674	1704.05120424
C19	387500	8019500	0.0831363	0.0262742	0	0.89059	1.00473	0	0	1	0	378.991998633	2563.87762788
C20	387500	8018500	0.0473287	0.0436809	0	0.908991	1.1621022	0	1	1	0	97.6931754819	3152.66315675
C21	387500	8017500	0.0940945	0.0330158	0	0.87289	1.19986	1	0	1	0	303.649083306	2210.96280961
C22	387500	8016500	0.0423691	0	0	0.957631	1.204592	0	0	0	0	744.061399087	1345.33733395
C23	387500	8015500	0.0688548	0	0	0.931145	1.00735	4	0	0	0	992.867362023	740.837805895
C24	387500	8014500	0.0440906	0	0	0.955909	1.01642	0	0	0	0	640.286113439	697.328780368
C25	387500	8013500	0.0195381	0.0315779	0	0.948884	1.76607	0	0	1	0	89.6749171991	736.809547338
C26	387500	8012500	0	0	0	1	0.5710819	0	0	0	0	885.739718012	1352.67062746
C28	387500	8010500	0.219309	0.0184566	0	0.762235	0.265471	0	0	1	0	304.34702381	2075.74061961
C29	387500	8009500	0	0.0665512	0	0.933449	1.884508747	0	0	1	0	82.3472136923	2078.20348916
C30	387500	8008500	0	0.00617531	0	0.993825	1.204114	0	0	1	0	498.055174129	1276.01577301
C31	387500	8007500	0.0912274	0.0537725	0	0.855	1.0658	0	0	1	0	443.790068227	773.462526146
D16	388500	8022500	0.110223	0.071095	0	0.818682	1.232235	1	0	1	0	133.344459738	705.990084135
D17	388500	8021500	0.0509532	0	0	0.949047	1.29929	0	1	0	0	605.591369772	1703.83950365
D18	388500	8020500	0	0	0	1	0.812149	0	0	0	0	1007.29027917	2454.03263342
D19	388500	8019500	0	0	0	1	0.294741	0	0	0	0	726.020495562	2750.9563599
D20	388500	8018500	0.0328669	0	0	0.967133	1.862548	1	0	0	0	766.77905555	3029.11371026
D25	388500	8013500	0.0464445	0.0232122	0	0.930343	0.671445	0	0	1	0	165.149851842	1630.36584705
D26	388500	8012500	0	0	0	1	1.019589	0	0	0	0	843.703981551	1698.99735377
D27	388500	8011500	0	0.0967552	0	0.903245	1.614817	0	0	1	0	0	1376.82423122
D28	388500	8010500	0	0	0	1	0.906235	0	0	0	0	604.087165232	1435.79218917
D29	388500	8009500	0	0	0	1	1.002	0	0	0	0	1022.81588032	2020.89998717
E15	389500	8023500	0.119762	0.0136925	0.000264565	0.866281	1.122102	0	0	1	1	452.727344621	556.511878545
